,product,started,closed,winner,price
133,Esteira Ergométrica El,2022-01-11 08:00:00,2022-01-11 11:41:58,Henning,"R$ 22,02"
134,Pacote 50 Lances,2022-01-11 09:00:00,2022-01-11 09:29:14,Gil1980,"R$ 4,19"
135,Fone Bose Quietcomfort,2022-01-11 07:00:00,2022-01-11 08:30:14,AquinoLuíz,"R$ 8,12"
136,MacBook Air Intel,2022-01-10 22:00:00,2022-01-11 08:03:37,email,"R$ 90,31"
137,Pacote 50 Lances,2022-01-11 06:00:00,2022-01-11 06:06:41,daianecassiano,"R$ 1,47"
138,iPad Air 10,2022-01-10 20:30:00,2022-01-11 03:54:46,m_rimazzi,"R$ 52,81"
139,Pacote 100 Lances,2022-01-10 23:00:00,2022-01-10 23:59:16,alexkoehler,"R$ 8,44"
140,Smart TV LED,2022-01-10 20:00:00,2022-01-10 22:54:39,VACINADO,"R$ 29,16"
141,GoPro HERO 9,2022-01-10 19:00:00,2022-01-10 21:34:02,ElizeuGottardo,"R$ 16,89"
142,Pacote 100 Lances,2022-01-10 21:00:00,2022-01-10 21:27:15,papudinhos,"R$ 3,99"
143,5 Digital Edition,2022-01-10 16:00:00,2022-01-10 20:46:45,Guido.,"R$ 43,40"
144,Kit 2 Banquetas,2022-01-10 19:30:00,2022-01-10 20:14:30,Jaguargt,"R$ 6,78"
145,Patinete Elétrico Maj,2022-01-09 20:00:00,2022-01-10 18:46:03,cinthiadalle,"R$ 171,69"
146,Pacote 50 Lances,2022-01-10 18:00:00,2022-01-10 18:14:56,LucasMassignani,"R$ 3,27"
147,Perfume Dolce e,2022-01-10 17:00:00,2022-01-10 18:14:56,sorte10,"R$ 12,85"
148,Pacote 50 Lances,2022-01-10 15:00:00,2022-01-10 15:55:53,pedrohsmoura,"R$ 7,85"
149,Lava E Seca,2022-01-10 13:00:00,2022-01-10 15:48:31,Fabiomonti7,"R$ 23,58"
150,Cama Box Colch,2022-01-10 11:00:00,2022-01-10 14:26:26,RICAMIL,"R$ 25,56"
151,Teclado Musical 61,2022-01-10 14:00:00,2022-01-10 14:06:15,crescimento,"R$ 1,61"
152,Pacote 100 Lances,2022-01-10 12:00:00,2022-01-10 12:30:53,email,"R$ 5,87"
153,IPhone 13 Pro,2022-01-10 10:00:00,2022-01-10 10:02:14,@caiomafra13,"R$ 1,05"
154,Pacote 50 Lances,2022-01-10 09:00:00,2022-01-10 09:21:09,FlavioRcRocha,"R$ 2,28"
155,Caixa de Som,2022-01-10 07:00:00,2022-01-10 08:57:44,vagnerpirajá,"R$ 9,71"
