,product,started,closed,winner,price
101,PIX de 200,2021-09-27 14:00:00,2021-09-27 14:25:03,heliaf,"R$ 5,44"
102,Pacote 100 Lances,2021-09-27 12:00:00,2021-09-27 12:16:47,AnapaulaSousa15,"R$ 3,37"
103,5 Digital Edition,2021-09-27 11:00:00,2021-09-27 11:52:17,LEOFOREX,"R$ 6,48"
104,Caixa de Som,2021-09-27 07:00:00,2021-09-27 10:15:16,Leandro Gama 89,"R$ 17,96"
105,Pacote 50 Lances,2021-09-27 09:00:00,2021-09-27 09:01:41,JAPONEISPRETO,"R$ 0,26"
106,iPad Air 10,2021-09-26 20:00:00,2021-09-27 08:13:06,rcobucci,"R$ 69,88"
107,Pacote 50 Lances,2021-09-27 06:00:00,2021-09-27 06:08:07,guifra,"R$ 1,20"
108,Pacote 100 Lances,2021-09-26 21:00:00,2021-09-26 23:36:11,D.U.B.A.I.,"R$ 14,33"
109,Pacote 100 Lances,2021-09-26 23:00:00,2021-09-26 23:01:51,Beltramy,"R$ 0,50"
110,Chaise Hungria Trama,2021-09-26 19:00:00,2021-09-26 22:13:34,Tancredo29,"R$ 18,51"
111,MacBook Air Intel,2021-09-26 22:00:00,2021-09-26 22:02:14,ldicastro,"R$ 1,41"
112,Lava E Seca,2021-09-26 20:30:00,2021-09-26 21:22:55,Sah_Caleron,"R$ 5,18"
113,Smart TV LED,2021-09-26 16:00:00,2021-09-26 20:13:52,p.caldana,"R$ 30,11"
114,PIX de 200,2021-09-26 19:30:00,2021-09-26 19:56:14,julioba,"R$ 4,27"
115,Pacote 50 Lances,2021-09-26 18:00:00,2021-09-26 18:20:03,Taratata,"R$ 2,62"
116,Cervejeira Metalfrio VN50FL,2021-09-26 17:00:00,2021-09-26 17:18:30,MAEDA,"R$ 2,57"
117,Pacote 50 Lances,2021-09-26 15:00:00,2021-09-26 15:07:09,Johonlenonn,"R$ 1,63"
118,Tablet How 7,2021-09-26 14:00:00,2021-09-26 14:47:43,JSM.SILVA,"R$ 4,69"
119,PIX de 1.000,2021-09-26 11:00:00,2021-09-26 14:29:34,Heitoralphaville,"R$ 27,20"
120,Monitor LG LED,2021-09-26 13:00:00,2021-09-26 13:37:37,ugan_silva,"R$ 5,19"
121,5 Polegadas Vermelho,2021-09-26 07:00:00,2021-09-26 13:18:07,leonel_ram_ms,"R$ 40,61"
122,Lava E Seca,2021-09-25 19:00:00,2021-09-26 12:05:11,ELCIU,"R$ 114,70"
123,Pacote 100 Lances,2021-09-26 12:00:00,2021-09-26 12:04:31,Johonlenonn,"R$ 1,62"
124,iPhone 12 Pro,2021-09-26 10:00:00,2021-09-26 10:20:40,f.panigassi,"R$ 9,61"
125,Pacote 50 Lances,2021-09-26 09:00:00,2021-09-26 09:18:00,Cenoura7,"R$ 2,44"
